,id,alternate_issns,alternate_names,alternate_urls,issn,name,type,url
33,c03ff686-1f55-4307-9d26-db5041342c9f,[],['Rev Geogr Espaç'],['http://revistas.academia.cl/index.php/esp/index'],0719-0573,Revista de Geografía Espacios,,http://revistas.academia.cl/index.php/esp
34,a5aef6ac-f877-4237-8c0d-a480859cca81,[],['J IHI technol'],[],1882-3041,Journal of IHI technologies,journal,
35,7211ceb6-7c4e-4c07-a0a0-898e76569d71,[],['Eur J Eng Educ'],['http://www.tandfonline.com/toc/ceee20/current'],0304-3797,European Journal of Engineering Education,journal,https://www.tandfonline.com/loi/ceee20
36,627b19bb-c089-42d3-b98f-0b706b36152a,[],['Glob scholast res j multidiscip'],[],2349-9397,Global scholastic research journal of multidisciplinary,journal,http://www.globalscholasticresearch.org/
37,9dc82142-a97c-495e-ad5a-a0f39244ca7c,[],['Humanista.pl'],[],1643-6695,Humanista.pl,,http://www.humanista.pl/
38,3c4a0bf9-f2f1-453f-bd0d-a14752a71eb8,[],['Int VAT Monit'],[],0925-0832,International VAT Monitor,,
39,0e4d75ec-395a-4612-8d62-ce7fc9a27bcc,[],"['Glob bioeth', 'Glob Bioeth', 'Global bioethics']",['http://www.tandfonline.com/RGBE'],1128-7462,Global Bioethics,journal,https://www.tandfonline.com/loi/rgbe20
40,67b9ac62-f685-40af-a93c-3c2de1f8a9f2,[],['Proc Zoöl Soc'],[],0373-5893,Proceedings of the Zoological Society,,https://link.springer.com/journal/12595
41,95067d32-71ee-4a85-8312-ed3e75d3fdc2,['1077-2901'],"['Harv rev', 'Harv Rev', 'Harvard Review']","['https://www.jstor.org/journal/harvardreview', 'http://www.jstor.org/journals/10772901.html']",0440-3487,Harvard review,,http://www.jstor.org/action/showPublication?journalCode=harvardreview
42,d451bf76-e997-4c98-bc29-b71db4830974,[],['Jpn J Parapsychol'],[],1343-926X,The Japanese Journal of Parapsychology,journal,https://www.jstage.jst.go.jp/browse/jsppj/-char/en
43,aaba9d95-25d7-47e0-ac5c-b5ec0e5fa4b7,['2152-6524'],"['Young sch writ Undergrad res writ rhetor', 'Young Scholars In Writing', 'Young Sch Writ']",[],2152-6516,Young scholars in writing. Undergraduate research in writing and rhetoric,journal,http://cas.umkc.edu/english/publications/youngscholarsinwriting/default.asp
44,f53b52b9-43c5-4cc5-bc39-b6388512cf66,[],['̃the œjournal humanit rehabilitation'],[],2380-1069,˜The œjournal of humanities in rehabilitation,journal,http://www.journalofhumanitiesinrehabilitation.org/
45,801455fc-105b-4799-9974-02465a76629f,[],['Rev Estud Empres Segunda Época'],['https://revistaselectronicas.ujaen.es/index.php/REE/index'],0213-8964,Revista de Estudios Empresariales. Segunda Época,journal,https://revistaselectronicas.ujaen.es/index.php/REE
46,027b136b-d984-4bf1-a285-00498b7f1c9e,['0375-9601'],"['Phys Lett', 'Physics Letters A', 'Phys Lett A']","['http://www.sciencedirect.com/science/journal/03759601', 'http://www.elsevier.com/wps/find/journaldescription.cws_home/505705/description']",0031-9163,Physics Letters,journal,http://www.sciencedirect.com/science/journal/00319163
47,18fe268f-d1a5-4f48-9864-083dd135774a,[],['Proceeding Sari Mulia Univ Midwifery National Semin'],[],2686-1011,Proceeding Of Sari Mulia University Midwifery National Seminars,,http://ocs.unism.ac.id/index.php/PROBID
48,2351d27f-4e8b-4ba5-87c3-a87496a100e4,[],['VW Appl Sci'],[],2582-5615,VW Applied Sciences,journal,
49,553858fb-3b33-4deb-af8d-39efab1c17c4,[],['Hebr character test 5 בוא'],[],0148-7736,Hebrew characters test 5 בוא,,
50,038881fc-565b-478e-85ba-d236153e54f8,[],['Spee-jahrbücher online'],[],0947-0735,Spee-Jahrbücher online,,http://www.historicum.net/themen/hexenforschung/spee-jahrbuecher
51,b35955f6-3188-474c-869b-84e88ad10957,[],['EXCEL Int J Multidiscip Manag Stud'],[],,EXCEL International Journal of Multidisciplinary Management Studies,journal,
52,da3df7c8-450d-4c0b-9ed0-b6f85d1bf33a,"['0084-5353', '1432-1335']","['Zeitschrift für Krebsforschung und Klinische Onkologie', 'Z Krebsforsch Klin Onkol', 'Zeitschrift für Krebsforschung', 'Z Krebsforsch']",[],0301-1585,Zeitschrift für Krebsforschung,journal,
53,6861bed0-7abb-4f04-a073-07b2be822aa3,[],['Chin J Radiol Health'],[],1004-714X,Chinese Journal of Radiological Health,journal,
54,05d25b84-7fe7-44aa-a275-a0ebf86727bd,"['0482-5276', '0719-8442', '2411-7358', '2412-3978', '1315-9518', '0252-8681', '0797-5538', '0716-7725']","['Revista De Ciencias Sociales', 'Rev cienc sociales', 'Rev Cienc Sociales', 'Revista de Ciencias Sociales', 'Revista Ciencias Sociales']","['https://www.redalyc.org/revista.oa?id=153', 'https://www.revistacienciassociales.ucr.ac.cr/', 'https://revistas.ucr.ac.cr/index.php/sociales', 'https://www.redalyc.org/revista.oa?id=280', 'http://produccioncientificaluz.org/index.php/rcs/index', 'https://dialnet.unirioja.es/servlet/revista?codigo=12894', 'https://rcs.cienciassociales.edu.uy/', 'http://www.scielo.edu.uy/scielo.php?lng=en&pid=0797-5538&script=sci_serial', 'http://www.scielo.org.ve/scielo.php?lng=en&pid=1315-9518&script=sci_serial', 'https://revistas.uv.cl/index.php/rcs', 'http://www.scielo.org.ve/scielo.php/script_sci_serial/pid_1315-9518/lng_en/nrm_iso', 'http://www.scielo.edu.uy/scielo.php?lng=es&nrm=iso&pid=0797-5538&rep=&script=sci_serial']",0034-7817,Revista de ciencias sociales,journal,http://cis.uprrp.edu/revista-de-ciencias-sociales.html
55,99d77980-5288-4ec1-9c76-e7ad35f3296b,[],['Atti Accad Sci Torino Cl sci fis mat nat'],['https://www.accademiadellescienze.it/attivita/editoria/periodici-e-collane/atti/morali'],0001-4419,"Atti della Accademia delle Scienze di Torino. Classe di scienze fisiche, matematiche e naturali",,https://www.accademiadellescienze.it/attivita/editoria/periodici-e-collane/atti/fisici
